0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-0.6458509,-59.99263,-80.985,0.5604641,-62.55525,-76.38421,1.3626087,-62.543415,-76.38174,1.9466951,-62.432976,-76.3819,-1.824263,-62.312202,-77.34051,-2.6609955,-62.112595,-77.349,-3.4569702,-61.828804,-77.3485,2.989569,-60.542645,-47.39664,-4.697913,-60.102783,-52.24263,0.96722394,-56.71856,-70.09636,-2.2262666,-56.68729,-71.504684,10.046103,-39.195942,-24.809559,-11.90165,-40.78252,-34.48215,11.512819,-16.912388,-8.672732,-13.676053,-17.177427,-23.767557,15.022108,4.919023,-29.24953,-16.286884,3.6472044,-43.682117,15.642354,11.247596,-34.830585,-17.390242,9.767575,-50.869335,14.843432,11.138071,-43.70032,-16.209095,10.169658,-58.742393,14.339092,8.969725,-33.377342,-15.474065,8.467219,-47.36573,6.1818705,0.2820156,2.969433,-6.1818705,-0.2820024,-2.969433,5.7622557,35.101257,-4.042131,-5.3884983,35.342953,-8.46164,3.6714349,64.72976,39.8802,-5.5517015,63.658203,37.705387,2.6492505,68.67856,42.49331,-4.885307,67.51277,40.333897,5.3567114,73.93424,11.78033,-5.852993,73.78203,9.016774
-0.29047298,-61.06931,-78.4787,0.8813095,-63.67481,-73.719315,1.6396329,-63.648945,-73.71788,2.199054,-63.530403,-73.717125,-1.4756736,-63.36599,-74.58266,-2.3498347,-63.129837,-74.588936,-3.0943406,-62.86121,-74.58703,3.2640505,-61.494858,-44.665066,-4.365295,-60.951866,-49.109596,1.2737361,-57.761627,-67.63869,-1.8864969,-57.7791,-68.9341,10.2653,-39.092106,-23.120546,-11.630168,-40.896255,-31.483227,12.119037,-16.169744,-7.1201406,-13.373364,-17.337593,-20.365725,15.56796,5.178662,-27.32861,-16.835918,3.2155297,-40.478836,16.146683,11.883275,-32.973595,-18.15442,8.846813,-47.663574,15.344484,11.754019,-41.76713,-17.105679,9.346465,-55.632793,14.756375,9.368257,-31.395643,-16.29058,7.61815,-44.241314,6.114988,0.27300814,2.827803,-6.1149745,-0.27300814,-2.827803,5.4485817,34.496147,-3.7002234,-5.48809,34.81154,-8.086836,4.017675,63.401997,45.288086,-5.329083,61.86257,42.294632,3.092264,66.99291,48.48736,-4.7532754,64.96957,45.439384,5.492989,73.17727,18.108229,-6.0383263,72.70349,14.22201
-0.3781558,-61.102,-86.33219,0.96860325,-63.431263,-81.922356,1.7886573,-63.423435,-81.92055,2.3845415,-63.350002,-81.92332,-1.5426731,-63.163673,-82.56537,-2.4024591,-62.982796,-82.574554,-3.1987705,-62.734528,-82.574875,3.5998788,-61.425137,-53.781845,-4.3094683,-60.874928,-57.187756,1.346518,-57.62824,-75.7604,-1.9397374,-57.49693,-76.759575,10.275087,-38.88581,-32.37296,-11.614682,-41.102974,-37.850357,12.093607,-16.023012,-16.31424,-14.1555805,-17.161877,-25.606895,16.689487,5.474722,-35.1495,-18.44547,3.7225294,-43.184013,17.476372,12.433371,-40.404613,-19.854525,9.387528,-49.43894,16.760984,12.835108,-48.772697,-19.076092,9.987496,-57.664635,16.137205,10.352235,-39.022705,-18.08404,8.254533,-47.016907,6.125658,0.38944465,2.0859509,-6.1256714,-0.38944465,-2.0859509,5.4657364,34.57939,-2.4047718,-5.0200486,34.286583,-4.35242,4.2145643,62.46605,46.772163,-4.929604,61.33722,45.861244,3.2845814,65.966125,49.983517,-4.517086,64.51098,48.99688,5.4337583,72.199036,19.192911,-5.51349,71.79309,17.322145
-0.0042110146,-61.846817,-98.9491,1.4194663,-64.42455,-94.67355,2.1026726,-64.361015,-94.6692,2.6906612,-64.24942,-94.67441,-1.1258945,-64.10392,-95.08294,-2.1681137,-63.822777,-95.097534,-2.9403648,-63.501602,-95.097885,3.9588172,-62.207146,-66.347885,-4.212977,-61.502934,-68.888916,1.6528709,-58.235,-88.28562,-1.6947356,-58.032356,-89.03664,10.709768,-38.89342,-44.297253,-11.742898,-41.09989,-47.29306,12.802847,-15.868261,-28.45541,-15.307692,-16.60104,-34.068714,18.646713,6.3005366,-46.143562,-20.711596,4.956187,-50.833363,20.087343,13.214682,-51.265602,-22.39618,11.117719,-56.716682,19.506033,13.926439,-59.726463,-22.201887,11.631272,-65.42155,18.744875,11.519333,-49.958702,-21.351357,9.766419,-54.848896,6.2642455,0.2500852,1.7923378,-6.264232,-0.2500716,-1.7923378,5.78314,34.810345,-0.35390842,-4.685156,34.84454,-1.5570347,4.468786,62.898167,50.370113,-4.9834704,61.625828,50.250084,3.389785,66.373955,53.7625,-4.6745396,64.720245,53.58178,5.7687497,72.69629,23.325266,-5.2384615,72.11217,21.887375
0.21526238,-59.717796,-96.07627,1.4958761,-62.19619,-91.90727,2.157559,-62.149612,-91.905106,2.7462149,-62.07076,-91.91154,-1.0483516,-62.016384,-92.95094,-2.015137,-61.824715,-92.965225,-2.8110476,-61.623222,-92.96466,3.8273022,-60.338135,-63.331924,-4.079264,-59.610588,-68.72286,1.7696395,-56.37771,-85.15724,-1.3679397,-56.04672,-86.72033,9.94735,-39.501617,-40.711086,-11.71087,-40.478928,-46.408463,12.858505,-19.055218,-24.637287,-16.017382,-18.013737,-33.396004,18.726177,0.061533943,-43.48794,-22.13599,1.3390615,-49.122425,20.302942,5.7955637,-48.31342,-24.818253,8.347067,-54.570545,20.175924,5.978862,-56.740665,-24.835556,8.833154,-63.253147,19.431065,3.9643235,-47.30274,-23.723755,6.8000727,-53.078968,5.9840097,0.08482532,2.4128935,-5.9840097,-0.08481202,-2.4128935,5.541992,34.278755,2.0457733,-4.1064796,33.78365,-1.8402241,4.6345596,60.53195,50.246304,-4.6645412,59.56543,49.532585,3.3803232,63.53995,53.40909,-4.098778,62.49023,52.845634,5.6330028,70.438194,23.657516,-5.4674754,70.08317,22.496626
0.6080056,-60.68555,-98.72905,1.8973722,-63.214474,-94.575554,2.4724255,-63.161995,-94.57394,3.093612,-63.06874,-94.57919,-0.5992977,-62.851013,-95.06494,-1.6447899,-62.544514,-95.07974,-2.4479163,-62.206776,-95.077736,4.2051945,-61.037247,-66.8764,-3.8500228,-60.201473,-69.79419,2.181531,-57.016582,-88.35771,-1.0570719,-56.826256,-89.184074,10.869978,-39.417377,-46.437454,-11.328665,-40.581314,-48.21637,15.466804,-20.550629,-36.580647,-17.26414,-19.016508,-37.46106,23.29548,-4.7189217,-60.589767,-25.587568,0.7897602,-53.91506,26.129908,-0.40362105,-66.46965,-28.69313,6.9528193,-59.562855,25.848225,-1.2908093,-75.166084,-28.633022,7.1521482,-68.39814,24.816614,-2.6580708,-64.63947,-27.571716,5.6070232,-58.142967,6.137372,0.24141301,2.2927387,-6.137372,-0.24141301,-2.2927387,5.6921167,33.826088,6.410077,-4.00126,33.53886,1.9561896,4.6480274,58.800117,60.02872,-4.483808,58.080833,59.51218,3.3962715,61.68551,63.88594,-4.100885,60.651134,63.65831,5.616128,69.30594,35.198986,-4.4655585,68.38653,34.653618
-0.48414046,-60.340794,-99.96501,0.7826834,-62.85149,-95.66941,1.5707841,-62.798405,-95.67337,2.1101913,-62.70457,-95.68628,-1.7484995,-62.43574,-95.92409,-2.6857133,-62.106304,-95.937126,-3.4774256,-61.787968,-95.93014,3.2068257,-60.709118,-67.91121,-4.6826954,-59.93254,-69.428444,1.0831243,-56.800186,-89.63613,-2.1233983,-56.61227,-90.05995,10.414945,-39.63517,-49.92831,-11.889443,-40.35123,-45.515938,18.78771,-22.089376,-42.978363,-19.879427,-20.517967,-34.1244,28.081411,-4.1151476,-69.29557,-29.887735,-3.7122135,-54.70869,31.814293,1.5124463,-76.16335,-33.79998,2.113315,-60.87355,31.183464,2.5028708,-85.29942,-34.365604,2.3324573,-70.47417,29.403595,0.04606656,-73.638115,-32.72053,0.1830668,-59.43299,6.2624426,0.1786249,-0.24227004,-6.2624426,-0.17861173,0.24227004,5.3099656,32.847275,5.185034,-4.6988816,32.42701,5.0639534,4.4577274,59.514503,53.189476,-4.85879,58.80682,52.20272,2.8059216,62.675346,56.252407,-4.191345,61.337883,55.042892,5.1028833,68.9122,25.539911,-6.3472733,69.340805,24.286116
-0.35388497,-59.291588,-84.99002,0.7558442,-61.43132,-80.58979,1.5307311,-61.383186,-80.597855,2.2602715,-61.299843,-80.610115,-1.5178353,-61.23367,-80.7395,-2.2694662,-61.031384,-80.74514,-3.0840776,-60.73568,-80.73552,3.22912,-59.440327,-53.956486,-3.9796114,-58.886528,-54.947273,1.2676544,-55.969368,-75.25568,-1.7899787,-55.928642,-75.50676,10.486951,-40.134144,-36.778526,-11.08478,-39.86362,-34.69331,20.064383,-24.776632,-30.768976,-20.284739,-24.042355,-26.587694,30.716545,-9.387658,-60.190437,-31.511051,-11.367412,-49.7501,34.56145,-4.382275,-67.08465,-35.787113,-7.110355,-56.48574,34.04585,-4.0756702,-76.3008,-36.32926,-6.960702,-65.20015,32.032093,-6.0068107,-64.862885,-34.181496,-8.3546505,-54.36793,5.874472,0.17895304,0.884304,-5.874472,-0.17895304,-0.884304,5.6907425,33.393555,6.9411516,-5.1166816,32.59281,4.932786,4.387654,58.61733,51.815742,-4.225528,58.78655,48.303406,2.8584335,61.59591,54.544514,-3.514172,61.46837,50.870556,5.174937,68.545845,24.58962,-5.3641987,69.05646,20.876314
-0.15305789,-60.024715,-88.32947,0.9537914,-62.237305,-84.099915,1.7417494,-62.235016,-84.10995,2.2827523,-62.199253,-84.12827,-1.5029445,-61.960464,-84.34148,-2.408726,-61.735935,-84.35075,-3.208634,-61.477715,-84.34413,3.1686692,-60.442913,-57.490368,-4.4522276,-59.469467,-58.718006,1.531719,-56.544598,-78.5743,-1.7105246,-56.308575,-78.865005,10.613028,-39.782173,-39.909683,-11.428961,-40.213665,-38.555737,21.45536,-26.661026,-40.364746,-24.021795,-26.819225,-32.574406,32.19225,-17.30159,-75.60787,-35.83128,-17.848417,-53.372215,37.075745,-13.790555,-82.667114,-42.49187,-12.874055,-58.8887,37.80627,-14.235512,-91.75003,-43.038757,-12.858913,-67.64909,35.78038,-15.263335,-80.5217,-40.93224,-14.191714,-58.02377,6.096647,0.17150714,1.7030991,-6.096647,-0.17150714,-1.7030991,6.065029,34.423195,2.8081975,-6.0825086,33.692352,0.91882664,4.271981,63.973064,37.54794,-5.096523,62.934196,35.89379,3.0609484,67.419426,39.122257,-4.305289,66.00184,37.418194,5.5495644,73.25378,7.3578844,-5.695926,73.23719,6.3131104
-0.071191296,-59.05851,-97.15215,1.019948,-61.19337,-92.16897,1.7514849,-61.134506,-92.183235,2.346332,-61.020447,-92.20799,-1.3115062,-61.112076,-93.7717,-2.167503,-61.0027,-93.78436,-2.9647815,-60.861443,-93.77783,3.063618,-59.331364,-62.03071,-4.479922,-59.015728,-69.49631,1.4117624,-56.131977,-86.095985,-1.7325646,-56.076317,-88.18533,9.8097515,-40.53619,-41.070297,-11.767121,-39.43985,-48.92019,22.442528,-27.544174,-34.355362,-25.951689,-28.29577,-47.98307,36.816837,-21.248997,-60.869305,-40.152184,-21.78723,-72.65825,41.94133,-18.095016,-66.06569,-45.479282,-19.060678,-78.61102,42.38419,-18.677608,-75.79178,-46.109188,-19.607075,-87.77945,40.625896,-19.52,-66.01465,-44.241993,-20.231888,-77.59752,6.17517,0.12353896,2.2970777,-6.175183,-0.12352617,-2.2970777,6.9410934,35.505753,3.1616583,-6.841784,34.43095,-1.0471827,5.6011367,65.02415,32.96683,-6.0687475,64.521904,27.7053,4.1512775,68.345726,33.8472,-5.045985,68.13941,28.593147,5.513673,74.43262,0.39683786,-5.538747,75.0942,-3.9168682
